subscription_id,customer_id,plan_id,billing_cycle,start_date,status,end_date,cancel_reason,current_monthly_value,mrr,auto_renew
S000067,C00067,P_ENT_M,Monthly,2023-04-14,Churned,2024-04-08,No Longer Needed,249.0,249,0
S000068,C00068,P_PRO_M,Monthly,2024-01-25,Active,,,49.0,49,1
S000069,C00069,P_PRO_M,Monthly,2023-10-12,Active,,,49.0,49,1
S000070,C00070,P_BASIC_A,Annual,2024-04-09,Churned,2024-12-31,Poor Support,16.0,16,0
S000071,C00071,P_PRO_M,Monthly,2024-10-12,Active,,,49.0,49,0
S000072,C00072,P_BASIC_A,Annual,2024-01-09,Churned,2024-12-31,Payment Failure,16.0,16,1
S000073,C00073,P_ENT_A,Annual,2023-06-16,Active,,,208.0,208,0
S000074,C00074,P_BASIC_M,Monthly,2024-01-15,Churned,2024-07-13,Too Expensive,19.0,19,1
S000075,C00075,P_BASIC_M,Monthly,2023-12-30,Active,,,19.0,19,0
S000076,C00076,P_BASIC_M,Monthly,2023-08-03,Churned,2024-10-26,Payment Failure,19.0,19,1
S000077,C00077,P_BASIC_A,Annual,2024-11-17,Active,,,16.0,16,0
S000078,C00078,P_BASIC_A,Annual,2023-10-01,Active,,,16.0,16,0
S000079,C00079,P_PRO_M,Monthly,2024-11-30,Churned,2024-12-31,No Longer Needed,49.0,49,1
S000080,C00080,P_BASIC_M,Monthly,2024-10-25,Active,,,19.0,19,1
S000081,C00081,P_PRO_M,Monthly,2023-03-15,Expired,2024-06-07,,49.0,49,0
S000082,C00082,P_PRO_M,Monthly,2024-09-15,Churned,2024-12-31,Switched Competitor,49.0,49,0
S000083,C00083,P_ENT_A,Annual,2024-10-12,Active,,,208.0,208,1
S000084,C00084,P_BASIC_M,Monthly,2023-06-25,Active,,,19.0,19,1
S000085,C00085,P_BUS_A,Annual,2024-06-30,Active,,,82.0,82,1
S000086,C00086,P_BASIC_M,Monthly,2023-09-08,Active,,,19.0,19,1
S000087,C00087,P_BASIC_M,Monthly,2023-06-17,Active,,,19.0,19,1
S000088,C00088,P_BASIC_M,Monthly,2024-04-18,Churned,2024-09-15,Payment Failure,19.0,19,0
S000089,C00089,P_PRO_A,Annual,2024-01-24,Active,,,82.0,41,0
S000090,C00090,P_BASIC_M,Monthly,2023-10-04,Expired,2024-06-30,,19.0,19,0
S000091,C00091,P_BASIC_A,Annual,2024-10-17,Active,,,82.0,16,1
S000092,C00092,P_PRO_M,Monthly,2024-07-24,Churned,2024-12-31,Switched Competitor,49.0,49,1
S000093,C00093,P_PRO_A,Annual,2023-08-13,Churned,2024-07-08,No Longer Needed,41.0,41,1
S000094,C00094,P_BASIC_M,Monthly,2023-11-29,Churned,2024-12-31,Poor Support,19.0,19,1
S000095,C00095,P_BUS_M,Monthly,2023-02-27,Expired,2024-11-18,,99.0,99,0
S000096,C00096,P_BUS_A,Annual,2023-08-23,Churned,2024-12-15,Poor Support,82.0,82,0
S000097,C00097,P_BASIC_M,Monthly,2023-02-02,Expired,2023-03-04,,19.0,19,0
S000098,C00098,P_BASIC_M,Monthly,2023-11-20,Expired,2024-12-31,,19.0,19,0
S000099,C00099,P_BUS_M,Monthly,2024-02-15,Active,,,99.0,99,0
S000100,C00100,P_PRO_A,Annual,2023-10-02,Expired,2023-11-01,,41.0,41,0
S000101,C00101,P_BUS_A,Annual,2023-03-09,Churned,2024-03-03,Missing Features,82.0,82,1
S000102,C00102,P_BASIC_A,Annual,2023-08-05,Expired,2024-01-02,,16.0,16,0
S000103,C00103,P_PRO_M,Monthly,2024-08-03,Expired,2024-11-01,,49.0,49,0
S000104,C00104,P_PRO_M,Monthly,2023-11-19,Churned,2024-12-31,Too Expensive,49.0,49,1
S000105,C00105,P_BASIC_M,Monthly,2023-08-06,Churned,2024-01-03,Payment Failure,19.0,19,1
S000106,C00106,P_ENT_M,Monthly,2024-11-02,Active,,,249.0,249,1
S000107,C00107,P_BASIC_M,Monthly,2024-05-26,Active,,,19.0,19,1
S000108,C00108,P_BASIC_A,Annual,2024-02-10,Churned,2024-12-31,No Longer Needed,16.0,16,0
S000109,C00109,P_PRO_M,Monthly,2024-10-20,Churned,2024-12-31,No Longer Needed,49.0,49,1
S000110,C00110,P_PRO_M,Monthly,2024-04-14,Churned,2024-11-10,Technical Issues,49.0,49,1
S000111,C00111,P_ENT_M,Monthly,2023-05-27,Active,,,249.0,249,1
S000112,C00112,P_PRO_M,Monthly,2023-09-29,Churned,2024-03-27,Payment Failure,49.0,49,1
S000113,C00113,P_BASIC_M,Monthly,2023-05-23,Churned,2024-06-16,Too Expensive,19.0,19,1
S000114,C00114,P_BASIC_M,Monthly,2023-09-10,Churned,2024-09-04,Switched Competitor,19.0,19,1
S000115,C00115,P_BUS_M,Monthly,2024-07-28,Expired,2024-12-31,,99.0,99,0
S000116,C00116,P_PRO_A,Annual,2024-07-05,Active,,,41.0,41,1
S000117,C00117,P_BASIC_M,Monthly,2023-09-27,Expired,2024-11-20,,19.0,19,0
S000118,C00118,P_BASIC_M,Monthly,2024-08-21,Expired,2024-12-31,,19.0,19,0
S000119,C00119,P_BUS_M,Monthly,2024-03-14,Churned,2024-04-13,No Longer Needed,99.0,99,1
S000120,C00120,P_BASIC_A,Annual,2024-08-20,Expired,2024-12-31,,16.0,16,0
S000121,C00121,P_ENT_M,Monthly,2024-02-13,Active,,,249.0,249,1
S000122,C00122,P_BUS_M,Monthly,2024-01-06,Expired,2024-08-03,,99.0,99,0
S000123,C00123,P_BASIC_M,Monthly,2023-08-13,Active,,,19.0,19,1
S000124,C00124,P_BASIC_A,Annual,2023-05-22,Churned,2023-10-19,Switched Competitor,16.0,16,1
S000125,C00125,P_BASIC_A,Annual,2024-06-05,Active,,,16.0,16,0
S000126,C00126,P_PRO_M,Monthly,2024-05-20,Churned,2024-12-31,Technical Issues,49.0,49,1
S000127,C00127,P_PRO_A,Annual,2023-04-04,Active,,,41.0,41,1
S000128,C00128,P_BASIC_A,Annual,2023-02-18,Active,,,16.0,16,1
S000129,C00129,P_PRO_M,Monthly,2023-04-23,Active,,,49.0,49,1
S000130,C00130,P_ENT_A,Annual,2023-06-06,Active,,,208.0,208,1
S000131,C00131,P_ENT_A,Annual,2024-10-04,Expired,2024-12-31,,208.0,208,0
S000132,C00132,P_BUS_M,Monthly,2023-06-13,Churned,2024-12-31,Switched Competitor,99.0,99,1
S000133,C00133,P_BUS_A,Annual,2024-11-27,Active,,,82.0,82,1
S000134,C00134,P_BASIC_M,Monthly,2024-03-08,Active,,,19.0,19,1
S000135,C00135,P_PRO_M,Monthly,2024-09-02,Churned,2024-12-31,Payment Failure,49.0,49,1
S000136,C00136,P_PRO_M,Monthly,2023-03-07,Active,,,49.0,49,1
S000137,C00137,P_PRO_M,Monthly,2024-01-30,Active,,,249.0,49,1
S000138,C00138,P_BASIC_M,Monthly,2024-01-26,Active,,,19.0,19,1
S000139,C00139,P_PRO_M,Monthly,2024-09-02,Active,,,49.0,49,1
S000140,C00140,P_BASIC_A,Annual,2024-04-24,Churned,2024-12-31,Switched Competitor,16.0,16,1
S000141,C00141,P_ENT_M,Monthly,2024-06-25,Active,,,249.0,249,1
S000142,C00142,P_ENT_M,Monthly,2023-09-15,Expired,2024-06-11,,249.0,249,0
S000143,C00143,P_PRO_M,Monthly,2024-07-20,Expired,2024-12-31,,49.0,49,0
S000144,C00144,P_BASIC_A,Annual,2023-01-12,Active,,,16.0,16,1
S000145,C00145,P_PRO_A,Annual,2024-11-27,Active,,,41.0,41,1
S000146,C00146,P_BASIC_A,Annual,2023-04-28,Churned,2023-12-24,Too Expensive,16.0,16,1
S000147,C00147,P_BASIC_A,Annual,2024-11-29,Active,,,16.0,16,1
S000148,C00148,P_BASIC_A,Annual,2024-07-03,Active,,,16.0,16,0
S000149,C00149,P_BUS_A,Annual,2023-10-01,Expired,2024-12-31,,82.0,82,0
S000150,C00150,P_BASIC_M,Monthly,2024-10-18,Churned,2024-12-31,Budget Cuts,19.0,19,1
S000151,C00151,P_BASIC_A,Annual,2023-12-15,Active,,,16.0,16,1
S000152,C00152,P_BASIC_M,Monthly,2023-04-25,Churned,2024-10-16,No Longer Needed,19.0,19,1
S000153,C00153,P_BUS_M,Monthly,2023-10-28,Churned,2023-11-27,Switched Competitor,99.0,99,1
S000154,C00154,P_BUS_M,Monthly,2024-03-21,Active,,,99.0,99,1
S000155,C00155,P_ENT_M,Monthly,2023-06-11,Churned,2024-12-31,Technical Issues,249.0,249,0
S000156,C00156,P_PRO_M,Monthly,2024-04-09,Active,,,49.0,49,1
S000157,C00157,P_BASIC_A,Annual,2023-01-04,Churned,2023-09-01,Payment Failure,16.0,16,1
S000158,C00158,P_BASIC_M,Monthly,2023-09-27,Active,,,19.0,19,1
S000159,C00159,P_BASIC_A,Annual,2024-05-27,Churned,2024-08-25,Too Expensive,16.0,16,1
S000160,C00160,P_BASIC_M,Monthly,2023-07-02,Churned,2023-11-29,Poor Support,19.0,19,1
S000161,C00161,P_BUS_M,Monthly,2024-06-03,Active,,,99.0,99,1
S000162,C00162,P_BASIC_M,Monthly,2023-04-19,Active,,,19.0,19,1
S000163,C00163,P_PRO_A,Annual,2024-10-02,Active,,,41.0,41,1
S000164,C00164,P_ENT_A,Annual,2023-11-02,Active,,,208.0,208,1
S000165,C00165,P_PRO_M,Monthly,2024-10-16,Active,,,49.0,49,1
S000166,C00166,P_PRO_A,Annual,2024-06-03,Churned,2024-12-31,Missing Features,41.0,41,1
S000167,C00167,P_BUS_M,Monthly,2024-09-15,Active,,,99.0,99,0
S000168,C00168,P_BUS_A,Annual,2023-07-23,Churned,2024-10-15,Missing Features,82.0,82,1
S000169,C00169,P_BASIC_A,Annual,2023-06-06,Churned,2024-05-01,Missing Features,16.0,16,1
S000170,C00170,P_PRO_A,Annual,2024-01-18,Expired,2024-11-13,,41.0,41,0
S000171,C00171,P_BASIC_M,Monthly,2023-06-15,Churned,2023-12-12,Technical Issues,19.0,19,1
S000172,C00172,P_BASIC_A,Annual,2024-07-06,Expired,2024-12-31,,16.0,16,0
S000173,C00173,P_BASIC_M,Monthly,2024-06-27,Active,,,19.0,19,1
S000174,C00174,P_PRO_M,Monthly,2023-01-01,Active,,,49.0,49,1
S000175,C00175,P_PRO_A,Annual,2024-09-05,Churned,2024-12-31,Poor Support,41.0,41,1
S000176,C00176,P_PRO_M,Monthly,2023-11-28,Churned,2024-08-24,Payment Failure,49.0,49,1
S000177,C00177,P_BASIC_A,Annual,2024-05-15,Active,,,16.0,16,1
S000178,C00178,P_PRO_M,Monthly,2023-01-20,Expired,2024-05-14,,49.0,49,0
S000179,C00179,P_PRO_A,Annual,2023-04-25,Expired,2024-10-16,,41.0,41,0
S000180,C00180,P_PRO_A,Annual,2024-01-07,Churned,2024-12-31,Missing Features,41.0,41,1
S000181,C00181,P_BASIC_A,Annual,2023-11-11,Active,,,16.0,16,0
S000182,C00182,P_PRO_A,Annual,2023-09-03,Active,,,41.0,41,1
S000183,C00183,P_BASIC_M,Monthly,2023-03-01,Churned,2023-11-26,Too Expensive,19.0,19,1
S000184,C00184,P_BASIC_M,Monthly,2023-09-04,Churned,2024-12-31,Technical Issues,19.0,19,0
S000185,C00185,P_ENT_M,Monthly,2024-08-03,Active,,,249.0,249,1
S000186,C00186,P_ENT_M,Monthly,2023-03-22,Expired,2023-12-17,,249.0,249,0
S000187,C00187,P_BUS_M,Monthly,2023-03-29,Active,,,99.0,99,0
S000188,C00188,P_PRO_A,Annual,2024-05-12,Churned,2024-11-08,Poor Support,41.0,41,1
S000189,C00189,P_PRO_M,Monthly,2023-03-12,Churned,2023-11-07,Missing Features,49.0,49,1
S000190,C00190,P_BASIC_M,Monthly,2024-06-29,Active,,,19.0,19,0
S000191,C00191,P_PRO_A,Annual,2023-05-09,Expired,2023-09-06,,41.0,41,0
S000192,C00192,P_BASIC_M,Monthly,2023-05-12,Active,,,49.0,19,1
S000193,C00193,P_PRO_M,Monthly,2024-11-06,Expired,2024-12-31,,49.0,49,0
S000194,C00194,P_BASIC_A,Annual,2024-05-01,Expired,2024-12-31,,16.0,16,0
S000195,C00195,P_BUS_A,Annual,2024-07-16,Active,,,82.0,82,0
S000196,C00196,P_BASIC_A,Annual,2023-06-19,Churned,2024-12-31,Switched Competitor,16.0,16,1
S000197,C00197,P_PRO_M,Monthly,2023-09-29,Active,,,49.0,49,1
S000198,C00198,P_BASIC_M,Monthly,2024-06-24,Active,,,19.0,19,0
S000199,C00199,P_BASIC_M,Monthly,2024-09-13,Active,,,19.0,19,1
S000200,C00200,P_BASIC_A,Annual,2024-03-09,Expired,2024-12-31,,16.0,16,0
S000201,C00201,P_ENT_M,Monthly,2023-08-05,Churned,2024-02-01,Payment Failure,249.0,249,1
S000202,C00202,P_BUS_A,Annual,2024-07-06,Active,,,82.0,82,1
S000203,C00203,P_PRO_M,Monthly,2023-07-25,Active,,,49.0,49,1
S000204,C00204,P_ENT_M,Monthly,2023-11-16,Active,,,249.0,249,1
S000205,C00205,P_PRO_A,Annual,2024-02-13,Active,,,41.0,41,1
S000206,C00206,P_BUS_M,Monthly,2024-11-18,Expired,2024-12-31,,99.0,99,0
S000207,C00207,P_PRO_M,Monthly,2024-10-27,Active,,,49.0,49,0
S000208,C00208,P_BASIC_M,Monthly,2024-01-18,Churned,2024-12-31,Payment Failure,19.0,19,1
S000209,C00209,P_BUS_M,Monthly,2024-03-24,Active,,,99.0,99,1
S000210,C00210,P_BASIC_M,Monthly,2024-06-13,Active,,,49.0,19,1
S000211,C00211,P_PRO_A,Annual,2024-04-07,Active,,,41.0,41,1
S000212,C00212,P_BASIC_M,Monthly,2023-05-04,Churned,2024-11-24,Payment Failure,19.0,19,1
S000213,C00213,P_PRO_M,Monthly,2023-09-11,Active,,,49.0,49,1
S000214,C00214,P_BASIC_A,Annual,2023-08-19,Churned,2024-06-14,Payment Failure,16.0,16,1
S000215,C00215,P_BUS_A,Annual,2023-03-07,Churned,2024-09-27,Payment Failure,82.0,82,1
S000216,C00216,P_PRO_M,Monthly,2023-12-13,Churned,2024-12-31,Payment Failure,49.0,49,1
S000217,C00217,P_ENT_M,Monthly,2023-01-22,Churned,2024-04-16,Too Expensive,249.0,249,1
S000218,C00218,P_PRO_M,Monthly,2024-08-25,Active,,,49.0,49,0
S000219,C00219,P_BASIC_A,Annual,2024-07-21,Churned,2024-12-31,Budget Cuts,16.0,16,0
S000220,C00220,P_ENT_A,Annual,2023-08-24,Expired,2024-04-20,,208.0,208,0
S000221,C00221,P_PRO_M,Monthly,2024-08-25,Expired,2024-12-31,,49.0,49,0
S000222,C00222,P_BASIC_A,Annual,2023-08-14,Expired,2024-05-10,,16.0,16,0
S000223,C00223,P_BASIC_M,Monthly,2023-01-08,Churned,2023-12-04,Payment Failure,19.0,19,1
S000224,C00224,P_BASIC_A,Annual,2023-03-14,Churned,2024-06-06,Missing Features,16.0,16,1
S000225,C00225,P_PRO_M,Monthly,2024-10-08,Active,,,99.0,49,1
S000226,C00226,P_BASIC_M,Monthly,2023-03-02,Active,,,19.0,19,1
S000227,C00227,P_PRO_A,Annual,2023-08-23,Active,,,41.0,41,1
S000228,C00228,P_BUS_M,Monthly,2023-03-11,Active,,,99.0,99,1
S000229,C00229,P_BUS_M,Monthly,2023-02-02,Active,,,99.0,99,0
S000230,C00230,P_BUS_A,Annual,2023-12-05,Active,,,82.0,82,1
S000231,C00231,P_PRO_A,Annual,2023-03-14,Active,,,41.0,41,0
S000232,C00232,P_BASIC_A,Annual,2024-06-10,Churned,2024-12-31,No Longer Needed,16.0,16,0
S000233,C00233,P_ENT_A,Annual,2023-09-01,Churned,2024-06-27,Payment Failure,208.0,208,1
S000234,C00234,P_BASIC_M,Monthly,2023-10-13,Active,,,49.0,19,1
S000235,C00235,P_BUS_A,Annual,2024-11-16,Expired,2024-12-31,,82.0,82,0
S000236,C00236,P_PRO_M,Monthly,2024-05-12,Active,,,99.0,49,1
S000237,C00237,P_PRO_M,Monthly,2023-08-08,Active,,,49.0,49,1
S000238,C00238,P_PRO_A,Annual,2024-07-06,Active,,,41.0,41,1
S000239,C00239,P_PRO_M,Monthly,2023-05-16,Churned,2024-12-31,No Longer Needed,49.0,49,1
S000240,C00240,P_BASIC_M,Monthly,2024-08-07,Churned,2024-12-31,No Longer Needed,19.0,19,1
S000241,C00241,P_BASIC_M,Monthly,2024-08-13,Expired,2024-12-31,,19.0,19,0
S000242,C00242,P_PRO_A,Annual,2024-04-29,Expired,2024-12-31,,41.0,41,0
S000243,C00243,P_BASIC_M,Monthly,2023-09-06,Active,,,19.0,19,1
S000244,C00244,P_PRO_M,Monthly,2024-04-29,Active,,,49.0,49,1
S000245,C00245,P_BUS_A,Annual,2024-02-21,Active,,,208.0,82,1
S000246,C00246,P_BUS_M,Monthly,2023-07-14,Churned,2024-11-05,Payment Failure,99.0,99,0
S000247,C00247,P_BASIC_M,Monthly,2023-04-07,Active,,,19.0,19,1
S000248,C00248,P_ENT_M,Monthly,2023-04-10,Churned,2023-11-06,Payment Failure,249.0,249,1
S000249,C00249,P_BASIC_M,Monthly,2024-11-05,Active,,,99.0,19,1
S000250,C00250,P_BASIC_A,Annual,2024-03-17,Expired,2024-12-31,,16.0,16,0
S000251,C00251,P_BASIC_M,Monthly,2023-12-29,Active,,,19.0,19,1
S000252,C00252,P_BASIC_M,Monthly,2024-03-09,Active,,,19.0,19,0
S000253,C00253,P_BUS_A,Annual,2024-02-25,Active,,,82.0,82,1
S000254,C00254,P_PRO_A,Annual,2024-04-23,Churned,2024-12-31,Too Expensive,41.0,41,1
S000255,C00255,P_PRO_M,Monthly,2023-02-25,Churned,2023-12-22,Payment Failure,49.0,49,0
S000256,C00256,P_PRO_M,Monthly,2024-11-20,Active,,,49.0,49,1
S000257,C00257,P_PRO_A,Annual,2024-10-31,Expired,2024-12-31,,41.0,41,0
S000258,C00258,P_ENT_A,Annual,2024-10-23,Active,,,208.0,208,1
S000259,C00259,P_BASIC_M,Monthly,2023-04-11,Active,,,19.0,19,1
S000260,C00260,P_PRO_M,Monthly,2023-03-04,Expired,2023-09-30,,49.0,49,0
S000261,C00261,P_PRO_M,Monthly,2024-02-17,Churned,2024-12-13,Payment Failure,49.0,49,1
S000262,C00262,P_ENT_M,Monthly,2023-12-14,Churned,2024-11-08,Too Expensive,249.0,249,1
S000263,C00263,P_BASIC_M,Monthly,2023-04-22,Active,,,19.0,19,1
S000264,C00264,P_PRO_M,Monthly,2023-09-12,Churned,2024-04-09,Too Expensive,49.0,49,1
S000265,C00265,P_BASIC_A,Annual,2023-07-16,Churned,2024-12-31,Switched Competitor,16.0,16,1
S000266,C00266,P_ENT_M,Monthly,2023-07-14,Churned,2024-04-09,Technical Issues,249.0,249,0
S000267,C00267,P_BUS_M,Monthly,2024-07-03,Churned,2024-12-31,Too Expensive,99.0,99,0
S000268,C00268,P_BASIC_A,Annual,2024-04-04,Active,,,16.0,16,0
S000269,C00269,P_BASIC_A,Annual,2023-05-24,Active,,,16.0,16,1
S000270,C00270,P_PRO_M,Monthly,2024-03-08,Active,,,49.0,49,1
S000271,C00271,P_PRO_A,Annual,2023-07-07,Active,,,41.0,41,1
S000272,C00272,P_ENT_A,Annual,2023-10-13,Active,,,208.0,208,1
S000273,C00273,P_BUS_M,Monthly,2024-04-18,Active,,,249.0,99,1
S000274,C00274,P_PRO_A,Annual,2023-09-13,Active,,,41.0,41,0
S000275,C00275,P_BASIC_A,Annual,2023-03-19,Expired,2024-01-13,,16.0,16,0
S000276,C00276,P_PRO_M,Monthly,2024-03-29,Active,,,49.0,49,0
S000277,C00277,P_BUS_A,Annual,2024-07-17,Active,,,82.0,82,1
S000278,C00278,P_ENT_A,Annual,2023-04-11,Expired,2024-09-02,,208.0,208,0
S000279,C00279,P_PRO_M,Monthly,2023-02-21,Churned,2023-05-22,Payment Failure,49.0,49,0
S000280,C00280,P_ENT_A,Annual,2024-10-29,Active,,,208.0,208,0
S000281,C00281,P_BASIC_M,Monthly,2024-07-07,Active,,,19.0,19,1
S000282,C00282,P_BASIC_M,Monthly,2023-01-16,Expired,2023-11-12,,19.0,19,0
S000283,C00283,P_BASIC_M,Monthly,2023-04-06,Expired,2024-04-30,,19.0,19,0
S000284,C00284,P_PRO_M,Monthly,2023-08-31,Churned,2023-11-29,Switched Competitor,49.0,49,1
S000285,C00285,P_PRO_A,Annual,2023-06-20,Churned,2024-08-13,Budget Cuts,41.0,41,1
S000286,C00286,P_BASIC_M,Monthly,2024-02-21,Churned,2024-12-17,Technical Issues,19.0,19,1
S000287,C00287,P_BUS_M,Monthly,2024-05-12,Active,,,99.0,99,1
S000288,C00288,P_ENT_M,Monthly,2024-05-07,Expired,2024-12-31,,249.0,249,0
S000289,C00289,P_PRO_M,Monthly,2023-08-07,Churned,2023-10-06,No Longer Needed,49.0,49,1
S000290,C00290,P_PRO_A,Annual,2024-02-15,Active,,,208.0,41,0
S000291,C00291,P_PRO_M,Monthly,2023-03-02,Churned,2024-03-26,Missing Features,49.0,49,1
S000292,C00292,P_BASIC_M,Monthly,2023-06-18,Active,,,19.0,19,0
S000293,C00293,P_BASIC_A,Annual,2024-01-24,Expired,2024-12-31,,16.0,16,0
S000294,C00294,P_PRO_A,Annual,2023-01-03,Active,,,41.0,41,1
S000295,C00295,P_PRO_M,Monthly,2024-02-04,Active,,,49.0,49,1
S000296,C00296,P_PRO_M,Monthly,2023-09-29,Churned,2024-12-31,Poor Support,49.0,49,1
S000297,C00297,P_BASIC_M,Monthly,2024-04-10,Churned,2024-12-31,Technical Issues,19.0,19,1
S000298,C00298,P_BASIC_M,Monthly,2023-10-20,Churned,2024-12-31,Switched Competitor,19.0,19,1
