customer_id,signup_date,region,segment,acquisition_channel,country_age_days
C00130,2023-06-06,North America,Enterprise,Direct,574
C00131,2024-10-04,Middle East & Africa,SMB,Paid Ads,88
C00132,2023-06-13,Asia Pacific,SMB,Social,567
C00133,2024-11-27,Latin America,SMB,Partner,34
C00134,2024-03-08,Asia Pacific,SMB,Direct,298
C00135,2024-09-02,Europe,Enterprise,Paid Ads,120
C00136,2023-03-07,Latin America,SMB,Organic Search,665
C00137,2024-01-30,Latin America,SMB,Paid Ads,336
C00138,2024-01-26,Middle East & Africa,Startup,Referral,340
C00139,2024-09-02,Europe,SMB,Organic Search,120
C00140,2024-04-24,North America,Mid-Market,Partner,251
C00141,2024-06-25,Asia Pacific,Enterprise,Organic Search,189
C00142,2023-09-15,Europe,SMB,Referral,473
C00143,2024-07-20,Europe,Startup,Paid Ads,164
C00144,2023-01-12,North America,SMB,Partner,719
C00145,2024-11-27,Europe,SMB,Organic Search,34
C00146,2023-04-28,Asia Pacific,SMB,Direct,613
C00147,2024-11-29,Asia Pacific,SMB,Organic Search,32
C00148,2024-07-03,Middle East & Africa,SMB,Paid Ads,181
C00149,2023-10-01,Asia Pacific,Startup,Social,457
C00150,2024-10-18,Asia Pacific,SMB,Organic Search,74
C00151,2023-12-15,Asia Pacific,Mid-Market,Paid Ads,382
C00152,2023-04-25,Latin America,SMB,Paid Ads,616
C00153,2023-10-28,North America,Mid-Market,Organic Search,430
C00154,2024-03-21,North America,SMB,Referral,285
C00155,2023-06-11,Asia Pacific,Mid-Market,Social,569
C00156,2024-04-09,North America,SMB,Direct,266
C00157,2023-01-04,North America,Startup,Organic Search,727
C00158,2023-09-27,Middle East & Africa,SMB,Direct,461
C00159,2024-05-27,Europe,Startup,Organic Search,218
C00160,2023-07-02,Europe,Startup,Referral,548
C00161,2024-06-03,Europe,Mid-Market,Paid Ads,211
C00162,2023-04-19,Europe,Mid-Market,Direct,622
C00163,2024-10-02,North America,SMB,Social,90
C00164,2023-11-02,Latin America,Mid-Market,Referral,425
C00165,2024-10-16,North America,SMB,Paid Ads,76
C00166,2024-06-03,North America,Mid-Market,Organic Search,211
C00167,2024-09-15,Middle East & Africa,Startup,Referral,107
C00168,2023-07-23,Europe,SMB,Direct,527
C00169,2023-06-06,Asia Pacific,SMB,Direct,574
C00170,2024-01-18,Asia Pacific,Startup,Partner,348
C00171,2023-06-15,Europe,SMB,Social,565
C00172,2024-07-06,Latin America,SMB,Organic Search,178
C00173,2024-06-27,North America,Enterprise,Social,187
C00174,2023-01-01,North America,Mid-Market,Paid Ads,730
C00175,2024-09-05,Middle East & Africa,Enterprise,Direct,117
C00176,2023-11-28,Europe,SMB,Organic Search,399
C00177,2024-05-15,North America,Startup,Direct,230
C00178,2023-01-20,Middle East & Africa,Startup,Referral,711
C00179,2023-04-25,Asia Pacific,Startup,Direct,616
C00180,2024-01-07,North America,Mid-Market,Organic Search,359
C00181,2023-11-11,Middle East & Africa,Mid-Market,Organic Search,416
C00182,2023-09-03,Asia Pacific,Mid-Market,Paid Ads,485
C00183,2023-03-01,North America,Mid-Market,Referral,671
C00184,2023-09-04,Asia Pacific,Mid-Market,Direct,484
C00185,2024-08-03,Europe,Mid-Market,Direct,150
C00186,2023-03-22,Europe,SMB,Organic Search,650
C00187,2023-03-29,Asia Pacific,Mid-Market,Partner,643
C00188,2024-05-12,North America,SMB,Organic Search,233
C00189,2023-03-12,North America,Mid-Market,Paid Ads,660
C00190,2024-06-29,Europe,Startup,Paid Ads,185
C00191,2023-05-09,Europe,Enterprise,Paid Ads,602
C00192,2023-05-12,Europe,Startup,Social,599
C00193,2024-11-06,North America,Startup,Paid Ads,55
C00194,2024-05-01,North America,Mid-Market,Social,244
C00195,2024-07-16,Europe,SMB,Referral,168
C00196,2023-06-19,North America,SMB,Organic Search,561
C00197,2023-09-29,North America,SMB,Organic Search,459
C00198,2024-06-24,Europe,SMB,Paid Ads,190
C00199,2024-09-13,Latin America,Mid-Market,Referral,109
C00200,2024-03-09,North America,SMB,Organic Search,297
C00201,2023-08-05,North America,SMB,Organic Search,514
C00202,2024-07-06,North America,SMB,Paid Ads,178
C00203,2023-07-25,North America,SMB,Paid Ads,525
C00204,2023-11-16,Asia Pacific,SMB,Partner,411
C00205,2024-02-13,Europe,SMB,Direct,322
C00206,2024-11-18,Latin America,SMB,Organic Search,43
C00207,2024-10-27,Asia Pacific,Mid-Market,Organic Search,65
C00208,2024-01-18,North America,SMB,Paid Ads,348
C00209,2024-03-24,Europe,SMB,Paid Ads,282
C00210,2024-06-13,Asia Pacific,SMB,Organic Search,201
C00211,2024-04-07,Asia Pacific,Startup,Paid Ads,268
C00212,2023-05-04,Europe,SMB,Paid Ads,607
C00213,2023-09-11,Europe,SMB,Organic Search,477
C00214,2023-08-19,North America,SMB,Paid Ads,500
C00215,2023-03-07,North America,SMB,Organic Search,665
C00216,2023-12-13,Latin America,Mid-Market,Referral,384
C00217,2023-01-22,Asia Pacific,Mid-Market,Organic Search,709
C00218,2024-08-25,Europe,Mid-Market,Partner,128
C00219,2024-07-21,Europe,SMB,Organic Search,163
C00220,2023-08-24,North America,Mid-Market,Referral,495
C00221,2024-08-25,North America,Startup,Referral,128
C00222,2023-08-14,North America,SMB,Organic Search,505
C00223,2023-01-08,North America,SMB,Organic Search,723
C00224,2023-03-14,North America,SMB,Direct,658
C00225,2024-10-08,North America,Mid-Market,Paid Ads,84
C00226,2023-03-02,Middle East & Africa,SMB,Paid Ads,670
C00227,2023-08-23,Middle East & Africa,Startup,Direct,496
C00228,2023-03-11,North America,SMB,Referral,661
C00229,2023-02-02,Latin America,Mid-Market,Referral,698
C00230,2023-12-05,North America,Enterprise,Organic Search,392
C00231,2023-03-14,North America,SMB,Paid Ads,658
C00232,2024-06-10,North America,SMB,Referral,204
C00233,2023-09-01,North America,Mid-Market,Organic Search,487
C00234,2023-10-13,Europe,Mid-Market,Organic Search,445
C00235,2024-11-16,North America,SMB,Organic Search,45
C00236,2024-05-12,Middle East & Africa,SMB,Direct,233
C00237,2023-08-08,North America,Mid-Market,Partner,511
C00238,2024-07-06,Europe,Mid-Market,Paid Ads,178
C00239,2023-05-16,North America,Startup,Direct,595
C00240,2024-08-07,Middle East & Africa,SMB,Partner,146
C00241,2024-08-13,Middle East & Africa,SMB,Organic Search,140
C00242,2024-04-29,Asia Pacific,Mid-Market,Direct,246
C00243,2023-09-06,North America,Enterprise,Organic Search,482
C00244,2024-04-29,North America,SMB,Direct,246
C00245,2024-02-21,Asia Pacific,Mid-Market,Paid Ads,314
C00246,2023-07-14,Latin America,SMB,Direct,536
C00247,2023-04-07,Europe,SMB,Paid Ads,634
C00248,2023-04-10,North America,Mid-Market,Paid Ads,631
C00249,2024-11-05,North America,Startup,Paid Ads,56
C00250,2024-03-17,Europe,Startup,Referral,289
C00251,2023-12-29,North America,Startup,Referral,368
C00252,2024-03-09,North America,SMB,Partner,297
C00253,2024-02-25,Europe,Mid-Market,Direct,310
C00254,2024-04-23,Asia Pacific,SMB,Paid Ads,252
C00255,2023-02-25,North America,Mid-Market,Organic Search,675
C00256,2024-11-20,Europe,Enterprise,Direct,41
C00257,2024-10-31,North America,Enterprise,Organic Search,61
C00258,2024-10-23,Latin America,SMB,Paid Ads,69
C00259,2023-04-11,Asia Pacific,SMB,Organic Search,630
C00260,2023-03-04,Asia Pacific,Mid-Market,Referral,668
C00261,2024-02-17,Asia Pacific,Mid-Market,Organic Search,318
C00262,2023-12-14,North America,SMB,Direct,383
C00263,2023-04-22,Europe,SMB,Paid Ads,619
C00264,2023-09-12,Middle East & Africa,SMB,Referral,476
C00265,2023-07-16,Europe,Mid-Market,Organic Search,534
C00266,2023-07-14,Latin America,Startup,Referral,536
C00267,2024-07-03,Asia Pacific,Startup,Partner,181
C00268,2024-04-04,North America,Mid-Market,Referral,271
C00269,2023-05-24,Europe,Mid-Market,Social,587
C00270,2024-03-08,Latin America,Mid-Market,Organic Search,298
C00271,2023-07-07,Middle East & Africa,Enterprise,Organic Search,543
C00272,2023-10-13,Latin America,Startup,Paid Ads,445
C00273,2024-04-18,Europe,SMB,Organic Search,257
C00274,2023-09-13,North America,Enterprise,Organic Search,475
C00275,2023-03-19,North America,SMB,Referral,653
C00276,2024-03-29,Latin America,SMB,Paid Ads,277
C00277,2024-07-17,Asia Pacific,Mid-Market,Organic Search,167
C00278,2023-04-11,Europe,SMB,Organic Search,630
C00279,2023-02-21,Europe,SMB,Direct,679
C00280,2024-10-29,North America,Mid-Market,Referral,63
C00281,2024-07-07,North America,Mid-Market,Organic Search,177
C00282,2023-01-16,Middle East & Africa,SMB,Paid Ads,715
C00283,2023-04-06,North America,Startup,Paid Ads,635
C00284,2023-08-31,Europe,SMB,Partner,488
C00285,2023-06-20,North America,Startup,Organic Search,560
C00286,2024-02-21,North America,SMB,Paid Ads,314
C00287,2024-05-12,Europe,SMB,Partner,233
C00288,2024-05-07,Europe,Mid-Market,Paid Ads,238
C00289,2023-08-07,Europe,Mid-Market,Organic Search,512
C00290,2024-02-15,North America,Startup,Social,320
C00291,2023-03-02,North America,SMB,Referral,670
C00292,2023-06-18,Europe,SMB,Organic Search,562
C00293,2024-01-24,Asia Pacific,Mid-Market,Organic Search,342
C00294,2023-01-03,North America,SMB,Referral,728
C00295,2024-02-04,North America,SMB,Partner,331
C00296,2023-09-29,North America,Mid-Market,Organic Search,459
C00297,2024-04-10,North America,SMB,Partner,265
C00298,2023-10-20,Latin America,Enterprise,Paid Ads,438
C00299,2024-03-09,Asia Pacific,SMB,Organic Search,297
C00300,2024-07-23,Latin America,SMB,Organic Search,161
C00301,2024-11-08,North America,SMB,Organic Search,53
C00302,2024-05-13,Europe,SMB,Direct,232
C00303,2023-06-08,Asia Pacific,SMB,Organic Search,572
C00304,2023-07-14,North America,Mid-Market,Organic Search,536
C00305,2023-10-31,Europe,SMB,Referral,427
C00306,2023-08-11,Europe,SMB,Social,508
C00307,2023-03-01,Asia Pacific,SMB,Direct,671
C00308,2024-08-16,Europe,Startup,Partner,137
C00309,2024-07-09,Europe,SMB,Organic Search,175
C00310,2023-03-04,Europe,Mid-Market,Organic Search,668
C00311,2023-11-18,North America,Enterprise,Social,409
C00312,2023-02-28,Europe,SMB,Organic Search,672
C00313,2023-02-21,North America,Startup,Organic Search,679
C00314,2024-08-21,Europe,SMB,Referral,132
C00315,2024-05-03,Asia Pacific,Enterprise,Organic Search,242
C00316,2024-05-29,North America,SMB,Direct,216
C00317,2024-06-27,Latin America,Mid-Market,Referral,187
C00318,2023-06-11,Asia Pacific,SMB,Direct,569
C00319,2023-02-28,Europe,SMB,Paid Ads,672
C00320,2024-06-04,North America,SMB,Partner,210
C00321,2023-03-24,North America,Mid-Market,Organic Search,648
C00322,2023-07-10,North America,SMB,Paid Ads,540
C00323,2023-03-12,Asia Pacific,SMB,Referral,660
C00324,2024-09-01,Europe,Mid-Market,Social,121
C00325,2023-03-11,Asia Pacific,SMB,Organic Search,661
C00326,2024-11-22,North America,Mid-Market,Organic Search,39
C00327,2023-08-29,Europe,Mid-Market,Paid Ads,490
C00328,2024-02-18,Asia Pacific,SMB,Organic Search,317
C00329,2023-05-03,Asia Pacific,Mid-Market,Referral,608
C00330,2024-08-06,Europe,SMB,Direct,147
C00331,2023-09-10,Asia Pacific,Mid-Market,Organic Search,478
C00332,2024-08-15,Europe,SMB,Organic Search,138
C00333,2024-08-31,Latin America,SMB,Social,122
C00334,2023-02-10,Europe,SMB,Referral,690
C00335,2024-09-26,Latin America,Mid-Market,Direct,96
C00336,2023-03-25,Asia Pacific,Mid-Market,Direct,647
C00337,2024-03-05,North America,Mid-Market,Organic Search,301
C00338,2024-11-04,Middle East & Africa,Startup,Organic Search,57
C00339,2024-08-20,Asia Pacific,Startup,Organic Search,133
C00340,2024-08-01,Europe,Startup,Organic Search,152
C00341,2024-06-19,Asia Pacific,SMB,Social,195
C00342,2023-11-20,Middle East & Africa,Startup,Paid Ads,407
C00343,2023-09-25,Latin America,Enterprise,Paid Ads,463
C00344,2023-07-29,Asia Pacific,SMB,Referral,521
C00345,2024-11-16,North America,SMB,Organic Search,45
C00346,2023-11-18,Asia Pacific,SMB,Partner,409
C00347,2023-09-02,North America,SMB,Referral,486
C00348,2023-09-29,Asia Pacific,SMB,Referral,459
C00349,2024-02-10,Latin America,Mid-Market,Organic Search,325
C00350,2023-05-15,North America,Startup,Organic Search,596
C00351,2024-11-18,Latin America,Mid-Market,Social,43
C00352,2024-10-22,Asia Pacific,Startup,Paid Ads,70
C00353,2023-11-04,Asia Pacific,SMB,Paid Ads,423
C00354,2024-04-13,Europe,Startup,Social,262
C00355,2023-11-20,Asia Pacific,SMB,Paid Ads,407
C00356,2023-03-16,Asia Pacific,SMB,Organic Search,656
C00357,2023-01-10,North America,SMB,Organic Search,721
C00358,2024-04-14,North America,SMB,Organic Search,261
C00359,2024-09-28,Middle East & Africa,SMB,Paid Ads,94
C00360,2024-07-30,Asia Pacific,SMB,Social,154
C00361,2023-04-13,Asia Pacific,SMB,Paid Ads,628
C00362,2023-03-17,Latin America,Startup,Paid Ads,655
C00363,2024-07-04,Europe,SMB,Social,180
C00364,2023-08-07,North America,Startup,Referral,512
C00365,2024-06-02,Europe,Mid-Market,Organic Search,212
C00366,2023-09-29,North America,SMB,Organic Search,459
C00367,2023-05-16,Asia Pacific,SMB,Organic Search,595
C00368,2023-12-24,Middle East & Africa,Startup,Social,373
C00369,2023-03-12,Middle East & Africa,SMB,Paid Ads,660
C00370,2023-09-08,Asia Pacific,Mid-Market,Organic Search,480
C00371,2024-01-14,Asia Pacific,SMB,Organic Search,352
C00372,2023-10-19,Europe,Mid-Market,Referral,439
C00373,2023-06-11,North America,Startup,Organic Search,569
C00374,2024-03-24,North America,Startup,Social,282
C00375,2024-07-10,Latin America,Enterprise,Referral,174
C00376,2023-11-06,Europe,SMB,Paid Ads,421
C00377,2024-09-18,North America,SMB,Partner,104
C00378,2024-10-31,Europe,SMB,Organic Search,61
C00379,2024-06-25,Asia Pacific,SMB,Direct,189
C00380,2023-01-09,Europe,Mid-Market,Referral,722
C00381,2024-11-14,Asia Pacific,SMB,Referral,47
C00382,2024-07-21,Europe,SMB,Direct,163
C00383,2023-11-03,Asia Pacific,Mid-Market,Direct,424
C00384,2024-11-10,Latin America,Mid-Market,Direct,51
C00385,2023-04-17,Asia Pacific,Mid-Market,Referral,624
C00386,2023-05-18,Asia Pacific,SMB,Direct,593
C00387,2023-09-28,Latin America,SMB,Direct,460
C00388,2023-04-29,North America,SMB,Partner,612
C00389,2023-04-20,North America,Enterprise,Direct,621
C00390,2024-07-20,Europe,SMB,Organic Search,164
C00391,2023-06-09,Europe,Startup,Referral,571
C00392,2023-10-06,North America,Mid-Market,Referral,452
C00393,2023-10-16,Asia Pacific,SMB,Partner,442
C00394,2024-09-11,Europe,Startup,Paid Ads,111
C00395,2023-08-04,Europe,Startup,Organic Search,515
C00396,2023-12-18,Middle East & Africa,Mid-Market,Organic Search,379
C00397,2023-07-28,North America,Mid-Market,Organic Search,522
C00398,2024-10-11,Europe,SMB,Referral,81
C00399,2023-09-28,North America,Startup,Social,460
C00400,2024-06-01,Middle East & Africa,Mid-Market,Organic Search,213
C00401,2024-05-15,Asia Pacific,SMB,Organic Search,230
C00402,2023-09-15,North America,Mid-Market,Partner,473
C00403,2023-02-22,Asia Pacific,SMB,Organic Search,678
C00404,2023-04-05,Middle East & Africa,SMB,Paid Ads,636
C00405,2024-10-11,North America,Enterprise,Referral,81
C00406,2024-03-09,North America,SMB,Referral,297
C00407,2023-10-11,Asia Pacific,SMB,Social,447
C00408,2023-02-15,North America,SMB,Social,685
C00409,2023-01-04,Europe,Mid-Market,Paid Ads,727
C00410,2023-12-08,North America,Startup,Paid Ads,389
C00411,2023-05-14,Latin America,SMB,Organic Search,597
C00412,2024-10-14,North America,Mid-Market,Paid Ads,78
C00413,2023-09-26,Latin America,Mid-Market,Social,462
C00414,2023-06-15,North America,Startup,Partner,565
C00415,2024-03-28,Asia Pacific,Enterprise,Partner,278
C00416,2024-07-18,Europe,SMB,Organic Search,166
C00417,2024-03-13,Latin America,Mid-Market,Partner,293
C00418,2024-07-28,Europe,SMB,Organic Search,156
C00419,2023-01-10,Asia Pacific,SMB,Organic Search,721
C00420,2023-04-25,Europe,SMB,Referral,616
C00421,2023-03-19,North America,Enterprise,Paid Ads,653
C00422,2023-06-02,Europe,SMB,Organic Search,578
C00423,2024-07-12,North America,Mid-Market,Referral,172
C00424,2023-02-06,North America,Mid-Market,Direct,694
C00425,2024-01-14,Asia Pacific,SMB,Paid Ads,352
C00426,2024-08-19,North America,SMB,Social,134
C00427,2024-07-19,North America,Mid-Market,Referral,165
C00428,2023-06-01,Asia Pacific,Mid-Market,Organic Search,579
C00429,2024-03-16,North America,Mid-Market,Organic Search,290
C00430,2023-05-11,North America,SMB,Organic Search,600
C00431,2023-02-12,North America,SMB,Referral,688
C00432,2023-11-12,Asia Pacific,Enterprise,Organic Search,415
C00433,2024-01-09,North America,SMB,Referral,357
C00434,2023-02-10,Asia Pacific,SMB,Social,690
C00435,2024-01-02,North America,Mid-Market,Partner,364
C00436,2023-08-04,Latin America,Mid-Market,Direct,515
C00437,2024-11-29,North America,Enterprise,Organic Search,32
C00438,2023-09-13,Latin America,Mid-Market,Direct,475
C00439,2024-11-13,Europe,Mid-Market,Referral,48
C00440,2023-04-16,Asia Pacific,SMB,Organic Search,625
C00441,2023-12-29,North America,SMB,Direct,368
C00442,2024-07-27,North America,Startup,Paid Ads,157
C00443,2024-02-21,North America,Enterprise,Referral,314
C00444,2024-09-27,Europe,Mid-Market,Partner,95
C00445,2023-06-08,North America,Startup,Social,572
C00446,2023-08-31,Asia Pacific,SMB,Referral,488
C00447,2023-06-16,North America,SMB,Organic Search,564
C00448,2023-07-01,Europe,Startup,Partner,549
C00449,2024-02-27,Asia Pacific,SMB,Paid Ads,308
C00450,2023-01-26,North America,Startup,Organic Search,705
C00451,2023-07-03,Latin America,Mid-Market,Paid Ads,547
C00452,2023-12-07,Asia Pacific,Mid-Market,Direct,390
C00453,2024-02-26,Latin America,SMB,Organic Search,309
C00454,2024-11-16,Europe,Startup,Organic Search,45
C00455,2023-09-12,Europe,Mid-Market,Partner,476
C00456,2023-10-01,North America,Mid-Market,Direct,457
C00457,2023-06-13,North America,SMB,Social,567
C00458,2023-04-21,North America,Startup,Paid Ads,620
C00459,2024-01-27,North America,Startup,Paid Ads,339
C00460,2023-02-09,Europe,SMB,Referral,691
C00461,2024-04-26,North America,SMB,Social,249
C00462,2023-08-16,North America,Mid-Market,Paid Ads,503
C00463,2023-07-24,Asia Pacific,SMB,Social,526
C00464,2024-04-16,Europe,SMB,Organic Search,259
C00465,2023-12-25,North America,Mid-Market,Paid Ads,372
C00466,2023-11-09,Asia Pacific,SMB,Organic Search,418
C00467,2023-08-22,Europe,Mid-Market,Organic Search,497
C00468,2023-08-17,North America,SMB,Partner,502
C00469,2023-01-25,Asia Pacific,Mid-Market,Direct,706
C00470,2024-11-06,Asia Pacific,Mid-Market,Direct,55
C00471,2023-07-17,North America,SMB,Organic Search,533
C00472,2024-02-13,North America,Mid-Market,Social,322
C00473,2023-12-03,North America,SMB,Paid Ads,394
C00474,2023-10-13,Middle East & Africa,SMB,Paid Ads,445
C00475,2023-03-13,North America,SMB,Social,659
C00476,2023-10-13,Middle East & Africa,SMB,Social,445
C00477,2023-12-26,Europe,Startup,Paid Ads,371
C00478,2024-10-18,Europe,Mid-Market,Referral,74
C00479,2024-06-05,North America,SMB,Paid Ads,209
C00480,2024-02-14,Asia Pacific,SMB,Referral,321
C00481,2024-11-26,Middle East & Africa,SMB,Referral,35
C00482,2024-07-03,Europe,Startup,Organic Search,181
C00483,2023-12-06,Asia Pacific,Enterprise,Social,391
C00484,2023-01-29,Asia Pacific,Mid-Market,Referral,702
C00485,2023-04-29,Latin America,Mid-Market,Organic Search,612
C00486,2023-09-25,Middle East & Africa,Mid-Market,Referral,463
C00487,2023-07-02,North America,Mid-Market,Paid Ads,548
C00488,2024-08-17,Asia Pacific,SMB,Referral,136
C00489,2023-09-29,Middle East & Africa,SMB,Social,459
C00490,2023-02-09,Europe,Startup,Partner,691
C00491,2023-04-22,Europe,Mid-Market,Direct,619
C00492,2024-09-02,Europe,SMB,Referral,120
C00493,2024-03-20,Asia Pacific,Enterprise,Partner,286
C00494,2023-12-20,Europe,Enterprise,Organic Search,377
C00495,2023-11-18,Europe,SMB,Paid Ads,409
C00496,2024-03-22,North America,SMB,Referral,284
