renewal_id,subscription_id,customer_id,renewal_date,plan_id,renewed,mrr
RN000068,S000010,C00010,2024-09-10,P_BASIC_M,1,19
RN000069,S000010,C00010,2024-10-10,P_BASIC_M,1,19
RN000070,S000010,C00010,2024-11-09,P_BASIC_M,1,19
RN000071,S000010,C00010,2024-12-09,P_BASIC_M,1,19
RN000072,S000011,C00011,2024-03-30,P_PRO_A,1,41
RN000073,S000012,C00012,2024-09-26,P_BASIC_M,1,19
RN000074,S000012,C00012,2024-10-26,P_BASIC_M,1,19
RN000075,S000012,C00012,2024-11-25,P_BASIC_M,1,19
RN000076,S000012,C00012,2024-12-25,P_BASIC_M,0,19
RN000077,S000014,C00014,2024-02-02,P_PRO_A,1,41
RN000078,S000015,C00015,2023-03-02,P_PRO_M,1,49
RN000079,S000015,C00015,2023-04-01,P_PRO_M,1,49
RN000080,S000015,C00015,2023-05-01,P_PRO_M,1,49
RN000081,S000015,C00015,2023-05-31,P_PRO_M,1,49
RN000082,S000015,C00015,2023-06-30,P_PRO_M,1,49
RN000083,S000015,C00015,2023-07-30,P_PRO_M,1,49
RN000084,S000015,C00015,2023-08-29,P_PRO_M,1,49
RN000085,S000015,C00015,2023-09-28,P_PRO_M,1,49
RN000086,S000015,C00015,2023-10-28,P_PRO_M,1,49
RN000087,S000015,C00015,2023-11-27,P_PRO_M,1,49
RN000088,S000015,C00015,2023-12-27,P_PRO_M,1,49
RN000089,S000015,C00015,2024-01-26,P_PRO_M,1,49
RN000090,S000015,C00015,2024-02-25,P_PRO_M,1,49
RN000091,S000015,C00015,2024-03-26,P_PRO_M,1,49
RN000092,S000015,C00015,2024-04-25,P_PRO_M,1,49
RN000093,S000015,C00015,2024-05-25,P_PRO_M,1,49
RN000094,S000015,C00015,2024-06-24,P_PRO_M,0,49
RN000095,S000015,C00015,2024-07-24,P_PRO_M,1,49
RN000096,S000015,C00015,2024-08-23,P_PRO_M,1,49
RN000097,S000015,C00015,2024-09-22,P_PRO_M,1,49
RN000098,S000015,C00015,2024-10-22,P_PRO_M,1,49
RN000099,S000015,C00015,2024-11-21,P_PRO_M,1,49
RN000100,S000015,C00015,2024-12-21,P_PRO_M,1,49
RN000101,S000016,C00016,2023-05-06,P_BUS_M,0,99
RN000102,S000017,C00017,2023-09-11,P_BASIC_M,1,19
RN000103,S000017,C00017,2023-10-11,P_BASIC_M,1,19
RN000104,S000017,C00017,2023-11-10,P_BASIC_M,1,19
RN000105,S000017,C00017,2023-12-10,P_BASIC_M,1,19
RN000106,S000017,C00017,2024-01-09,P_BASIC_M,1,19
RN000107,S000017,C00017,2024-02-08,P_BASIC_M,1,19
RN000108,S000017,C00017,2024-03-09,P_BASIC_M,1,19
RN000109,S000017,C00017,2024-04-08,P_BASIC_M,1,19
RN000110,S000017,C00017,2024-05-08,P_BASIC_M,1,19
RN000111,S000017,C00017,2024-06-07,P_BASIC_M,1,19
RN000112,S000017,C00017,2024-07-07,P_BASIC_M,1,19
RN000113,S000017,C00017,2024-08-06,P_BASIC_M,1,19
RN000114,S000017,C00017,2024-09-05,P_BASIC_M,1,19
RN000115,S000017,C00017,2024-10-05,P_BASIC_M,1,19
RN000116,S000017,C00017,2024-11-04,P_BASIC_M,1,19
RN000117,S000017,C00017,2024-12-04,P_BASIC_M,0,19
RN000118,S000018,C00018,2024-08-26,P_BASIC_A,1,16
RN000119,S000019,C00019,2024-07-01,P_PRO_M,1,49
RN000120,S000019,C00019,2024-07-31,P_PRO_M,1,49
RN000121,S000019,C00019,2024-08-30,P_PRO_M,1,49
RN000122,S000019,C00019,2024-09-29,P_PRO_M,1,49
RN000123,S000019,C00019,2024-10-29,P_PRO_M,1,49
RN000124,S000019,C00019,2024-11-28,P_PRO_M,0,49
RN000125,S000019,C00019,2024-12-28,P_PRO_M,0,49
RN000126,S000020,C00020,2024-10-08,P_PRO_M,1,49
RN000127,S000020,C00020,2024-11-07,P_PRO_M,1,49
RN000128,S000020,C00020,2024-12-07,P_PRO_M,1,49
RN000129,S000021,C00021,2024-01-28,P_BUS_A,0,82
RN000130,S000023,C00023,2023-08-22,P_BASIC_M,1,19
RN000131,S000023,C00023,2023-09-21,P_BASIC_M,1,19
RN000132,S000023,C00023,2023-10-21,P_BASIC_M,0,19
RN000133,S000023,C00023,2023-11-20,P_BASIC_M,0,19
RN000134,S000023,C00023,2023-12-20,P_BASIC_M,1,19
RN000135,S000023,C00023,2024-01-19,P_BASIC_M,1,19
RN000136,S000023,C00023,2024-02-18,P_BASIC_M,1,19
RN000137,S000023,C00023,2024-03-19,P_BASIC_M,1,19
RN000138,S000023,C00023,2024-04-18,P_BASIC_M,1,19
RN000139,S000023,C00023,2024-05-18,P_BASIC_M,1,19
RN000140,S000023,C00023,2024-06-17,P_BASIC_M,1,19
RN000141,S000023,C00023,2024-07-17,P_BASIC_M,1,19
RN000142,S000023,C00023,2024-08-16,P_BASIC_M,1,19
RN000143,S000023,C00023,2024-09-15,P_BASIC_M,1,19
RN000144,S000023,C00023,2024-10-15,P_BASIC_M,0,19
RN000145,S000023,C00023,2024-11-14,P_BASIC_M,1,19
RN000146,S000023,C00023,2024-12-14,P_BASIC_M,1,19
RN000147,S000024,C00024,2024-11-26,P_BASIC_M,1,19
RN000148,S000024,C00024,2024-12-26,P_BASIC_M,1,19
RN000149,S000025,C00025,2024-08-11,P_ENT_M,1,249
RN000150,S000025,C00025,2024-09-10,P_ENT_M,1,249
RN000151,S000025,C00025,2024-10-10,P_ENT_M,1,249
RN000152,S000025,C00025,2024-11-09,P_ENT_M,1,249
RN000153,S000025,C00025,2024-12-09,P_ENT_M,1,249
RN000154,S000026,C00026,2024-04-04,P_PRO_M,0,49
RN000155,S000026,C00026,2024-05-04,P_PRO_M,0,49
RN000156,S000026,C00026,2024-06-03,P_PRO_M,1,49
RN000157,S000026,C00026,2024-07-03,P_PRO_M,1,49
RN000158,S000026,C00026,2024-08-02,P_PRO_M,1,49
RN000159,S000026,C00026,2024-09-01,P_PRO_M,1,49
RN000160,S000026,C00026,2024-10-01,P_PRO_M,1,49
RN000161,S000026,C00026,2024-10-31,P_PRO_M,0,49
RN000162,S000026,C00026,2024-11-30,P_PRO_M,1,49
RN000163,S000026,C00026,2024-12-30,P_PRO_M,0,49
RN000164,S000027,C00027,2023-09-13,P_BASIC_M,1,19
RN000165,S000027,C00027,2023-10-13,P_BASIC_M,1,19
RN000166,S000027,C00027,2023-11-12,P_BASIC_M,1,19
RN000167,S000027,C00027,2023-12-12,P_BASIC_M,1,19
RN000168,S000027,C00027,2024-01-11,P_BASIC_M,1,19
RN000169,S000027,C00027,2024-02-10,P_BASIC_M,1,19
RN000170,S000027,C00027,2024-03-11,P_BASIC_M,1,19
RN000171,S000027,C00027,2024-04-10,P_BASIC_M,1,19
RN000172,S000027,C00027,2024-05-10,P_BASIC_M,1,19
RN000173,S000027,C00027,2024-06-09,P_BASIC_M,1,19
RN000174,S000027,C00027,2024-07-09,P_BASIC_M,1,19
RN000175,S000027,C00027,2024-08-08,P_BASIC_M,1,19
RN000176,S000027,C00027,2024-09-07,P_BASIC_M,1,19
RN000177,S000027,C00027,2024-10-07,P_BASIC_M,1,19
RN000178,S000027,C00027,2024-11-06,P_BASIC_M,1,19
RN000179,S000027,C00027,2024-12-06,P_BASIC_M,1,19
RN000180,S000028,C00028,2024-05-04,P_PRO_M,1,49
RN000181,S000028,C00028,2024-06-03,P_PRO_M,0,49
RN000182,S000028,C00028,2024-07-03,P_PRO_M,1,49
RN000183,S000028,C00028,2024-08-02,P_PRO_M,1,49
RN000184,S000028,C00028,2024-09-01,P_PRO_M,0,49
RN000185,S000028,C00028,2024-10-01,P_PRO_M,0,49
RN000186,S000028,C00028,2024-10-31,P_PRO_M,1,49
RN000187,S000028,C00028,2024-11-30,P_PRO_M,1,49
RN000188,S000028,C00028,2024-12-30,P_PRO_M,1,49
RN000189,S000030,C00030,2023-11-11,P_PRO_M,1,49
RN000190,S000030,C00030,2023-12-11,P_PRO_M,1,49
RN000191,S000030,C00030,2024-01-10,P_PRO_M,1,49
RN000192,S000030,C00030,2024-02-09,P_PRO_M,1,49
RN000193,S000030,C00030,2024-03-10,P_PRO_M,0,49
RN000194,S000030,C00030,2024-04-09,P_PRO_M,0,49
RN000195,S000030,C00030,2024-05-09,P_PRO_M,1,49
RN000196,S000030,C00030,2024-06-08,P_PRO_M,0,49
RN000197,S000030,C00030,2024-07-08,P_PRO_M,1,49
RN000198,S000030,C00030,2024-08-07,P_PRO_M,1,49
RN000199,S000030,C00030,2024-09-06,P_PRO_M,1,49
RN000200,S000030,C00030,2024-10-06,P_PRO_M,1,49
RN000201,S000030,C00030,2024-11-05,P_PRO_M,1,49
RN000202,S000030,C00030,2024-12-05,P_PRO_M,1,49
RN000203,S000031,C00031,2024-01-07,P_BASIC_A,1,16
RN000204,S000032,C00032,2023-07-13,P_PRO_M,0,49
RN000205,S000032,C00032,2023-08-12,P_PRO_M,1,49
RN000206,S000032,C00032,2023-09-11,P_PRO_M,0,49
RN000207,S000032,C00032,2023-10-11,P_PRO_M,1,49
RN000208,S000032,C00032,2023-11-10,P_PRO_M,1,49
RN000209,S000032,C00032,2023-12-10,P_PRO_M,1,49
RN000210,S000032,C00032,2024-01-09,P_PRO_M,1,49
RN000211,S000032,C00032,2024-02-08,P_PRO_M,1,49
RN000212,S000032,C00032,2024-03-09,P_PRO_M,1,49
RN000213,S000032,C00032,2024-04-08,P_PRO_M,1,49
RN000214,S000032,C00032,2024-05-08,P_PRO_M,0,49
RN000215,S000032,C00032,2024-06-07,P_PRO_M,1,49
RN000216,S000032,C00032,2024-07-07,P_PRO_M,1,49
RN000217,S000032,C00032,2024-08-06,P_PRO_M,1,49
RN000218,S000032,C00032,2024-09-05,P_PRO_M,1,49
RN000219,S000032,C00032,2024-10-05,P_PRO_M,1,49
RN000220,S000032,C00032,2024-11-04,P_PRO_M,1,49
RN000221,S000032,C00032,2024-12-04,P_PRO_M,1,49
RN000222,S000034,C00034,2024-12-14,P_PRO_A,1,41
RN000223,S000035,C00035,2024-10-11,P_BUS_A,1,82
RN000224,S000036,C00036,2023-07-09,P_BASIC_M,0,19
RN000225,S000036,C00036,2023-08-08,P_BASIC_M,0,19
RN000226,S000036,C00036,2023-09-07,P_BASIC_M,1,19
RN000227,S000036,C00036,2023-10-07,P_BASIC_M,1,19
RN000228,S000036,C00036,2023-11-06,P_BASIC_M,1,19
RN000229,S000036,C00036,2023-12-06,P_BASIC_M,1,19
RN000230,S000036,C00036,2024-01-05,P_BASIC_M,1,19
RN000231,S000036,C00036,2024-02-04,P_BASIC_M,1,19
RN000232,S000036,C00036,2024-03-05,P_BASIC_M,1,19
RN000233,S000036,C00036,2024-04-04,P_BASIC_M,1,19
RN000234,S000036,C00036,2024-05-04,P_BASIC_M,1,19
RN000235,S000036,C00036,2024-06-03,P_BASIC_M,1,19
RN000236,S000036,C00036,2024-07-03,P_BASIC_M,1,19
RN000237,S000036,C00036,2024-08-02,P_BASIC_M,1,19
RN000238,S000036,C00036,2024-09-01,P_BASIC_M,1,19
RN000239,S000036,C00036,2024-10-01,P_BASIC_M,1,19
RN000240,S000036,C00036,2024-10-31,P_BASIC_M,1,19
RN000241,S000036,C00036,2024-11-30,P_BASIC_M,1,19
RN000242,S000036,C00036,2024-12-30,P_BASIC_M,0,19
RN000243,S000037,C00037,2023-09-08,P_PRO_M,1,49
RN000244,S000037,C00037,2023-10-08,P_PRO_M,1,49
RN000245,S000037,C00037,2023-11-07,P_PRO_M,1,49
RN000246,S000037,C00037,2023-12-07,P_PRO_M,1,49
RN000247,S000037,C00037,2024-01-06,P_PRO_M,1,49
RN000248,S000037,C00037,2024-02-05,P_PRO_M,1,49
RN000249,S000037,C00037,2024-03-06,P_PRO_M,1,49
RN000250,S000037,C00037,2024-04-05,P_PRO_M,1,49
RN000251,S000037,C00037,2024-05-05,P_PRO_M,1,49
RN000252,S000037,C00037,2024-06-04,P_PRO_M,1,49
RN000253,S000037,C00037,2024-07-04,P_PRO_M,0,49
RN000254,S000037,C00037,2024-08-03,P_PRO_M,1,49
RN000255,S000037,C00037,2024-09-02,P_PRO_M,1,49
RN000256,S000037,C00037,2024-10-02,P_PRO_M,0,49
RN000257,S000037,C00037,2024-11-01,P_PRO_M,1,49
RN000258,S000037,C00037,2024-12-01,P_PRO_M,1,49
RN000259,S000037,C00037,2024-12-31,P_PRO_M,1,49
RN000260,S000039,C00039,2024-04-14,P_BASIC_A,1,16
RN000261,S000040,C00040,2023-05-05,P_BUS_M,1,99
RN000262,S000040,C00040,2023-06-04,P_BUS_M,1,99
RN000263,S000040,C00040,2023-07-04,P_BUS_M,1,99
RN000264,S000040,C00040,2023-08-03,P_BUS_M,1,99
RN000265,S000040,C00040,2023-09-02,P_BUS_M,1,99
RN000266,S000040,C00040,2023-10-02,P_BUS_M,1,99
RN000267,S000040,C00040,2023-11-01,P_BUS_M,1,99
RN000268,S000040,C00040,2023-12-01,P_BUS_M,1,99
RN000269,S000040,C00040,2023-12-31,P_BUS_M,0,99
RN000270,S000040,C00040,2024-01-30,P_BUS_M,1,99
RN000271,S000040,C00040,2024-02-29,P_BUS_M,1,99
RN000272,S000040,C00040,2024-03-30,P_BUS_M,1,99
RN000273,S000040,C00040,2024-04-29,P_BUS_M,1,99
RN000274,S000040,C00040,2024-05-29,P_BUS_M,1,99
RN000275,S000040,C00040,2024-06-28,P_BUS_M,1,99
RN000276,S000040,C00040,2024-07-28,P_BUS_M,1,99
RN000277,S000040,C00040,2024-08-27,P_BUS_M,1,99
RN000278,S000040,C00040,2024-09-26,P_BUS_M,1,99
RN000279,S000040,C00040,2024-10-26,P_BUS_M,1,99
RN000280,S000040,C00040,2024-11-25,P_BUS_M,1,99
RN000281,S000040,C00040,2024-12-25,P_BUS_M,1,99
RN000282,S000042,C00042,2023-05-10,P_BASIC_M,1,19
RN000283,S000042,C00042,2023-06-09,P_BASIC_M,1,19
RN000284,S000042,C00042,2023-07-09,P_BASIC_M,1,19
RN000285,S000042,C00042,2023-08-08,P_BASIC_M,1,19
RN000286,S000042,C00042,2023-09-07,P_BASIC_M,1,19
RN000287,S000042,C00042,2023-10-07,P_BASIC_M,0,19
RN000288,S000042,C00042,2023-11-06,P_BASIC_M,0,19
RN000289,S000042,C00042,2023-12-06,P_BASIC_M,0,19
RN000290,S000043,C00043,2024-02-02,P_BASIC_M,1,19
RN000291,S000043,C00043,2024-03-03,P_BASIC_M,1,19
RN000292,S000043,C00043,2024-04-02,P_BASIC_M,0,19
RN000293,S000043,C00043,2024-05-02,P_BASIC_M,1,19
RN000294,S000043,C00043,2024-06-01,P_BASIC_M,1,19
RN000295,S000043,C00043,2024-07-01,P_BASIC_M,1,19
RN000296,S000043,C00043,2024-07-31,P_BASIC_M,1,19
RN000297,S000043,C00043,2024-08-30,P_BASIC_M,1,19
RN000298,S000043,C00043,2024-09-29,P_BASIC_M,1,19
RN000299,S000043,C00043,2024-10-29,P_BASIC_M,0,19
RN000300,S000043,C00043,2024-11-28,P_BASIC_M,1,19
RN000301,S000043,C00043,2024-12-28,P_BASIC_M,1,19
RN000302,S000044,C00044,2024-01-18,P_PRO_M,0,49
RN000303,S000044,C00044,2024-02-17,P_PRO_M,1,49
RN000304,S000044,C00044,2024-03-18,P_PRO_M,1,49
RN000305,S000044,C00044,2024-04-17,P_PRO_M,1,49
RN000306,S000044,C00044,2024-05-17,P_PRO_M,1,49
RN000307,S000044,C00044,2024-06-16,P_PRO_M,1,49
RN000308,S000044,C00044,2024-07-16,P_PRO_M,1,49
RN000309,S000044,C00044,2024-08-15,P_PRO_M,1,49
RN000310,S000044,C00044,2024-09-14,P_PRO_M,1,49
RN000311,S000044,C00044,2024-10-14,P_PRO_M,1,49
RN000312,S000044,C00044,2024-11-13,P_PRO_M,1,49
RN000313,S000044,C00044,2024-12-13,P_PRO_M,0,49
RN000314,S000045,C00045,2024-10-10,P_PRO_M,0,49
RN000315,S000045,C00045,2024-11-09,P_PRO_M,1,49
RN000316,S000045,C00045,2024-12-09,P_PRO_M,0,49
RN000317,S000046,C00046,2023-10-28,P_PRO_M,1,49
RN000318,S000046,C00046,2023-11-27,P_PRO_M,1,49
RN000319,S000046,C00046,2023-12-27,P_PRO_M,1,49
RN000320,S000046,C00046,2024-01-26,P_PRO_M,1,49
RN000321,S000046,C00046,2024-02-25,P_PRO_M,1,49
RN000322,S000046,C00046,2024-03-26,P_PRO_M,0,49
RN000323,S000046,C00046,2024-04-25,P_PRO_M,1,49
RN000324,S000046,C00046,2024-05-25,P_PRO_M,1,49
RN000325,S000046,C00046,2024-06-24,P_PRO_M,0,49
RN000326,S000046,C00046,2024-07-24,P_PRO_M,1,49
RN000327,S000046,C00046,2024-08-23,P_PRO_M,1,49
RN000328,S000046,C00046,2024-09-22,P_PRO_M,0,49
RN000329,S000046,C00046,2024-10-22,P_PRO_M,1,49
RN000330,S000046,C00046,2024-11-21,P_PRO_M,1,49
RN000331,S000046,C00046,2024-12-21,P_PRO_M,1,49
RN000332,S000047,C00047,2023-03-16,P_BASIC_M,1,19
RN000333,S000047,C00047,2023-04-15,P_BASIC_M,1,19
RN000334,S000047,C00047,2023-05-15,P_BASIC_M,1,19
RN000335,S000047,C00047,2023-06-14,P_BASIC_M,1,19
RN000336,S000047,C00047,2023-07-14,P_BASIC_M,1,19
RN000337,S000047,C00047,2023-08-13,P_BASIC_M,0,19
RN000338,S000047,C00047,2023-09-12,P_BASIC_M,1,19
RN000339,S000047,C00047,2023-10-12,P_BASIC_M,1,19
RN000340,S000047,C00047,2023-11-11,P_BASIC_M,1,19
RN000341,S000047,C00047,2023-12-11,P_BASIC_M,1,19
RN000342,S000047,C00047,2024-01-10,P_BASIC_M,1,19
RN000343,S000047,C00047,2024-02-09,P_BASIC_M,0,19
RN000344,S000047,C00047,2024-03-10,P_BASIC_M,0,19
RN000345,S000048,C00048,2024-05-15,P_PRO_M,0,49
RN000346,S000050,C00050,2024-05-07,P_BASIC_A,0,16
RN000347,S000051,C00051,2024-02-22,P_BASIC_M,1,19
RN000348,S000051,C00051,2024-03-23,P_BASIC_M,1,19
RN000349,S000051,C00051,2024-04-22,P_BASIC_M,0,19
RN000350,S000051,C00051,2024-05-22,P_BASIC_M,1,19
RN000351,S000051,C00051,2024-06-21,P_BASIC_M,0,19
RN000352,S000051,C00051,2024-07-21,P_BASIC_M,1,19
RN000353,S000051,C00051,2024-08-20,P_BASIC_M,1,19
RN000354,S000051,C00051,2024-09-19,P_BASIC_M,1,19
RN000355,S000051,C00051,2024-10-19,P_BASIC_M,1,19
RN000356,S000051,C00051,2024-11-18,P_BASIC_M,1,19
RN000357,S000051,C00051,2024-12-18,P_BASIC_M,1,19
RN000358,S000052,C00052,2023-04-21,P_PRO_M,1,49
RN000359,S000052,C00052,2023-05-21,P_PRO_M,1,49
RN000360,S000052,C00052,2023-06-20,P_PRO_M,1,49
RN000361,S000052,C00052,2023-07-20,P_PRO_M,1,49
RN000362,S000052,C00052,2023-08-19,P_PRO_M,1,49
RN000363,S000052,C00052,2023-09-18,P_PRO_M,1,49
RN000364,S000052,C00052,2023-10-18,P_PRO_M,1,49
RN000365,S000052,C00052,2023-11-17,P_PRO_M,1,49
RN000366,S000052,C00052,2023-12-17,P_PRO_M,1,49
RN000367,S000052,C00052,2024-01-16,P_PRO_M,1,49
RN000368,S000052,C00052,2024-02-15,P_PRO_M,1,49
RN000369,S000052,C00052,2024-03-16,P_PRO_M,1,49
RN000370,S000052,C00052,2024-04-15,P_PRO_M,0,49
RN000371,S000052,C00052,2024-05-15,P_PRO_M,1,49
RN000372,S000052,C00052,2024-06-14,P_PRO_M,1,49
RN000373,S000052,C00052,2024-07-14,P_PRO_M,1,49
RN000374,S000052,C00052,2024-08-13,P_PRO_M,1,49
RN000375,S000052,C00052,2024-09-12,P_PRO_M,1,49
RN000376,S000052,C00052,2024-10-12,P_PRO_M,1,49
RN000377,S000052,C00052,2024-11-11,P_PRO_M,1,49
RN000378,S000052,C00052,2024-12-11,P_PRO_M,1,49
RN000379,S000053,C00053,2024-08-18,P_PRO_M,1,49
RN000380,S000053,C00053,2024-09-17,P_PRO_M,1,49
RN000381,S000053,C00053,2024-10-17,P_PRO_M,1,49
RN000382,S000053,C00053,2024-11-16,P_PRO_M,1,49
RN000383,S000053,C00053,2024-12-16,P_PRO_M,0,49
RN000384,S000054,C00054,2024-10-27,P_BASIC_A,0,16
RN000385,S000056,C00056,2024-10-25,P_BUS_M,1,99
RN000386,S000056,C00056,2024-11-24,P_BUS_M,1,99
RN000387,S000056,C00056,2024-12-24,P_BUS_M,0,99
RN000388,S000057,C00057,2024-02-05,P_BUS_M,1,99
RN000389,S000057,C00057,2024-03-06,P_BUS_M,1,99
RN000390,S000057,C00057,2024-04-05,P_BUS_M,1,99
RN000391,S000057,C00057,2024-05-05,P_BUS_M,1,99
RN000392,S000057,C00057,2024-06-04,P_BUS_M,1,99
RN000393,S000057,C00057,2024-07-04,P_BUS_M,1,99
RN000394,S000057,C00057,2024-08-03,P_BUS_M,1,99
RN000395,S000057,C00057,2024-09-02,P_BUS_M,1,99
RN000396,S000057,C00057,2024-10-02,P_BUS_M,1,99
RN000397,S000057,C00057,2024-11-01,P_BUS_M,1,99
RN000398,S000057,C00057,2024-12-01,P_BUS_M,1,99
RN000399,S000057,C00057,2024-12-31,P_BUS_M,0,99
RN000400,S000058,C00058,2024-09-13,P_ENT_M,1,249
RN000401,S000058,C00058,2024-10-13,P_ENT_M,1,249
RN000402,S000058,C00058,2024-11-12,P_ENT_M,0,249
RN000403,S000058,C00058,2024-12-12,P_ENT_M,0,249
RN000404,S000059,C00059,2023-08-15,P_BASIC_M,1,19
RN000405,S000059,C00059,2023-09-14,P_BASIC_M,0,19
RN000406,S000059,C00059,2023-10-14,P_BASIC_M,0,19
RN000407,S000060,C00060,2023-04-12,P_BUS_M,1,99
RN000408,S000060,C00060,2023-05-12,P_BUS_M,1,99
RN000409,S000060,C00060,2023-06-11,P_BUS_M,1,99
RN000410,S000060,C00060,2023-07-11,P_BUS_M,1,99
RN000411,S000060,C00060,2023-08-10,P_BUS_M,1,99
RN000412,S000060,C00060,2023-09-09,P_BUS_M,1,99
RN000413,S000060,C00060,2023-10-09,P_BUS_M,1,99
RN000414,S000060,C00060,2023-11-08,P_BUS_M,1,99
RN000415,S000060,C00060,2023-12-08,P_BUS_M,1,99
RN000416,S000060,C00060,2024-01-07,P_BUS_M,1,99
RN000417,S000060,C00060,2024-02-06,P_BUS_M,0,99
RN000418,S000060,C00060,2024-03-07,P_BUS_M,1,99
RN000419,S000060,C00060,2024-04-06,P_BUS_M,1,99
RN000420,S000060,C00060,2024-05-06,P_BUS_M,1,99
RN000421,S000060,C00060,2024-06-05,P_BUS_M,1,99
RN000422,S000060,C00060,2024-07-05,P_BUS_M,1,99
RN000423,S000060,C00060,2024-08-04,P_BUS_M,1,99
RN000424,S000060,C00060,2024-09-03,P_BUS_M,0,99
RN000425,S000060,C00060,2024-10-03,P_BUS_M,1,99
RN000426,S000060,C00060,2024-11-02,P_BUS_M,0,99
RN000427,S000060,C00060,2024-12-02,P_BUS_M,1,99
RN000428,S000061,C00061,2024-02-16,P_ENT_A,1,208
RN000429,S000062,C00062,2024-12-08,P_BASIC_M,0,19
